period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
6/1/18,6/30/18,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,258634,-0.003651257,0.049060461,262235,-0.014166542,0.046687861,159,-0.00689704,0.039549216,161,-0.015739447,0.044207827,60098,0.043426129,-0.022191005,51779,-0.060690664,0.010125699,66542,-0.066425027,-0.021846326,117642,0.03700017,-0.085668522,1.957489772,-0.012129939,-0.135898843,24,-1,-4,0.99381869,-0.000168541,0.002292963,0.317048649,0.003066818,0.019364685,0.131202196,0.003026826,0.042347606,0.45732008,-0.035929784,0.023827996,,,9/24/23 14:20
3/1/19,3/31/19,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,291732,0.018310517,0.018975765,338298,0.016113731,0.024432287,134,-0.02888474,0.001341921,155,0.013726326,0.027478712,9454,0.171546448,-0.121922413,9373,0.289679783,-0.085555704,14898,0.247085935,-0.020388832,36525,0.015871218,0.082926068,3.863406243,-0.592040257,0.730809724,44,-5,2,0.962720192,0.002696865,-0.007115335,0.229270285,0.016527704,-0.049706752,0.097683886,0.013311213,0.011995114,0.452826752,0.030869307,-0.010001045,,,9/24/23 14:20
5/1/17,5/31/17,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,269128,0.022739416,0.06548923,289960,0.003703959,0.06505662,145,0.020237152,0.070241708,150,0.00707095,0.058526692,621878,0.220311613,0.067721421,568510,0.152105907,0.091370119,800259,0.104738722,0.057397312,1655653,0.037722293,-0.101427063,2.662340334,-0.468444125,-0.501162245,37,-4,-6,0.986912967,0.002009382,0.00337376,0.280095449,0.013638739,0.021352353,0.11931681,0.012965359,-0.003228578,0.4324458,-0.019488825,0.028478375,,,9/24/23 14:20
12/1/20,12/31/20,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,296105,-0.000508252,0.098682666,297235,0.021353502,0.122481716,180,0.004604751,0.09404525,183,0.019091408,0.126147283,63361,0.081228303,0.281326185,45549,-0.121450447,0.349226885,41068,-0.18098725,0.297742085,78452,-0.167015474,-0.263248827,1.238166046,-0.368994869,-0.915199477,31,3,-14,0.995958652,-0.000436664,0.01051046,0.328378952,-0.0122109,0.108602795,0.079899119,-0.023709365,-0.015764248,0.389804213,-0.031661075,0.119911623,,,9/24/23 14:20
7/1/18,7/31/18,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,280634.6794,0.000770816,0.053800853,294457.6794,-0.000398259,0.053780046,151.9219742,-0.000819283,0.057276055,157.9171135,0.004028597,0.061194741,519062.3792,-0.006302762,-0.000173415,445839.6677,0.010970151,0.029285571,603522.533,-0.020428052,-0.006041249,1503958.973,0.004814984,-0.027719344,2.885389858,-0.027233122,-0.133899798,41.52667896,2,-4,0.983216314,3.13E-05,0.000940209,0.248751271,-0.006215689,0.003143994,0.142447019,0.002530238,0.02224954,0.388872922,-0.007887553,0.004199688,,,9/24/23 0:00
5/1/18,5/31/18,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,243446.2686,-0.00504543,0.051474369,259829.1515,-0.007475909,0.061439331,209.9085743,-0.005343601,0.060556145,222.4088807,-0.005027191,0.063547701,59036.53903,-0.005218348,-0.010070809,52284.02624,-0.020800367,0.008740153,71294.58045,0.002508059,0.019308047,160483.0697,0.017067768,-0.036736614,2.818220516,0.100691418,-0.071410082,35.6338076,0,-4,0.98283993,-0.001293428,0.00226023,0.231586289,-0.005188316,0.0117415,0.112250563,-8.77E-05,0.02229979,0.406090291,6.10E-06,0.007500404,,,9/24/23 0:00
4/1/14,4/30/14,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,203518.7808,0.007266154,0.097731905,206889.0603,0.024752776,0.089620745,131.4271738,0.008927789,0.107652556,132.6566556,0.032306163,0.064478571,35608.94833,0.013732762,0.015626589,31007.44379,0.078585011,0.116617945,48328.27388,0.008257928,0.076614954,140319.7881,-0.005405142,0.031339894,3.997164673,-0.176880511,0.103108162,52.50683925,0,-2,0.977433619,-0.000322112,-0.001750896,0.211311718,-0.0012687,-0.027948324,0.086977234,0.009655221,0.030411889,0.328835217,-0.021408146,-0.046243088,,,9/24/23 0:00
10/1/21,10/31/21,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,384638.3851,0.014547483,0.139336153,392183.5274,0.014133089,0.136532876,209.3035573,0.006976026,0.177357082,213.0902852,0.012597468,0.137172939,608402.9326,0.006951136,-0.063899021,606761.8421,0.01999232,0.012112375,649467.3329,-0.020380046,-0.070345252,826728.4505,-0.026386493,-0.194239104,1.389262719,-0.153124463,-0.200241417,20.79290369,1,-8,1.010024862,-0.001028115,0.012416055,0.48897603,0.000641695,0.118493323,0.086349588,-0.008108953,-0.004522955,0.533907819,0.012322799,0.017316623,,,9/24/23 0:00
9/1/15,9/30/15,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,234706.3985,0.00215468,0.065095094,249393.409,0.005365356,0.066475568,126.9815837,0.004683228,0.059799253,132.4843729,0.00245389,0.062318075,484597.6656,-0.015981116,0.122513687,385613.8442,-0.003321048,0.161199173,586239.4254,-0.033071175,0.045653375,1824694.226,-0.014070071,-0.05665465,3.923674517,-0.0465801,-0.725386307,53.35835225,-1,-7,0.977399259,0.000300242,0.004208671,0.209507201,-0.001494579,0.022250517,0.12532955,0.001798096,0.034003468,0.343403278,0.00458782,0.036056678,,,9/24/23 0:00
12/1/17,12/31/17,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,249391.1343,0.012918047,0.052841087,257919.0205,-0.001987545,0.082630058,153.983507,0.008462235,0.064208796,158.1063715,-0.00945272,0.059744241,48416.72035,0.01275372,0.05509253,42959.9711,-0.008830182,0.080927197,55110.77146,-1.23E-05,0.014059303,111481.7326,-0.006553504,-0.091665437,2.225972052,-0.147554106,-0.373771089,36.23147025,0,-4,0.990667157,0.00122863,0.005045475,0.266903579,-0.003374384,0.026116806,0.078052824,-0.004588098,-0.000341406,0.444586996,0.004360102,0.02968817,,,9/24/23 0:00
